event_id	doc	score_a	score_x	num
2728	TTEMSINGLES-----------FNL-000100----------	10	12	1
2728	TTEMSINGLES-----------FNL-000100----------	1	11	2
2728	TTEMSINGLES-----------FNL-000100----------	8	11	3
2728	TTEMSINGLES-----------FNL-000100----------	7	11	4
2728	TTEMSINGLES-----------SFNL000100----------	8	11	1
2728	TTEMSINGLES-----------SFNL000100----------	11	7	2
2728	TTEMSINGLES-----------SFNL000100----------	5	11	3
2728	TTEMSINGLES-----------SFNL000100----------	8	11	4
2728	TTEMSINGLES-----------SFNL000100----------	8	11	5
2728	TTEWSINGLES-----------SFNL000100----------	14	16	1
2728	TTEWSINGLES-----------SFNL000100----------	6	11	2
2728	TTEWSINGLES-----------SFNL000100----------	8	11	3
2728	TTEWSINGLES-----------SFNL000100----------	9	11	4
2728	TTEWSINGLES-----------QFNL000200----------	11	3	1
2728	TTEWSINGLES-----------QFNL000200----------	11	7	2
2728	TTEWSINGLES-----------QFNL000200----------	11	2	3
2728	TTEWSINGLES-----------QFNL000100----------	11	6	1
2728	TTEWSINGLES-----------QFNL000100----------	11	3	2
2728	TTEWSINGLES-----------QFNL000100----------	11	7	3
2728	TTEMSINGLES-----------QFNL000200----------	11	7	1
2728	TTEMSINGLES-----------QFNL000200----------	11	8	2
2728	TTEMSINGLES-----------QFNL000200----------	11	6	3
2728	TTEMSINGLES-----------QFNL000100----------	7	11	1
2728	TTEMSINGLES-----------QFNL000100----------	11	8	2
2728	TTEMSINGLES-----------QFNL000100----------	5	11	3
2728	TTEMSINGLES-----------QFNL000100----------	11	5	4
2728	TTEMSINGLES-----------QFNL000100----------	9	11	5
2728	TTEMSINGLES-----------SFNL000200----------	9	11	1
2728	TTEMSINGLES-----------SFNL000200----------	9	11	2
2728	TTEMSINGLES-----------SFNL000200----------	7	11	3
2728	TTEMSINGLES-----------SFNL000200----------	4	11	4
2728	TTEWSINGLES-----------SFNL000200----------	11	7	1
2728	TTEWSINGLES-----------SFNL000200----------	9	11	2
2728	TTEWSINGLES-----------SFNL000200----------	9	11	3
2728	TTEWSINGLES-----------SFNL000200----------	6	11	4
2728	TTEWSINGLES-----------SFNL000200----------	11	5	5
2728	TTEWSINGLES-----------SFNL000200----------	4	11	6
2728	TTEWSINGLES-----------FNL-000100----------	13	11	1
2728	TTEWSINGLES-----------FNL-000100----------	7	11	2
2728	TTEWSINGLES-----------FNL-000100----------	11	8	3
2728	TTEWSINGLES-----------FNL-000100----------	10	12	4
2728	TTEWSINGLES-----------FNL-000100----------	9	11	5
2728	TTEWSINGLES-----------FNL-000100----------	8	11	6
2728	TTEMSINGLES-----------QFNL000400----------	11	9	1
2728	TTEMSINGLES-----------QFNL000400----------	3	11	2
2728	TTEMSINGLES-----------QFNL000400----------	15	13	3
2728	TTEMSINGLES-----------QFNL000400----------	8	11	4
2728	TTEMSINGLES-----------QFNL000400----------	7	11	5
2728	TTEWSINGLES-----------QFNL000300----------	10	12	1
2728	TTEWSINGLES-----------QFNL000300----------	5	11	2
2728	TTEWSINGLES-----------QFNL000300----------	5	11	3
2728	TTEMSINGLES-----------QFNL000300----------	8	11	1
2728	TTEMSINGLES-----------QFNL000300----------	11	9	2
2728	TTEMSINGLES-----------QFNL000300----------	5	11	3
2728	TTEMSINGLES-----------QFNL000300----------	7	11	4
2728	TTEWSINGLES-----------QFNL000400----------	11	8	1
2728	TTEWSINGLES-----------QFNL000400----------	7	11	2
2728	TTEWSINGLES-----------QFNL000400----------	6	11	3
2728	TTEWSINGLES-----------QFNL000400----------	6	11	4
2728	TTEMSINGLES-----------8FNL000100----------	11	7	1
2728	TTEMSINGLES-----------8FNL000100----------	11	4	2
2728	TTEMSINGLES-----------8FNL000100----------	11	8	3
2728	TTEWSINGLES-----------8FNL000100----------	9	11	1
2728	TTEWSINGLES-----------8FNL000100----------	7	11	2
2728	TTEWSINGLES-----------8FNL000100----------	11	3	3
