event_id	doc	score_a	score_x	num
2932	TTEMSINGLES-----------FNL-000100----------	11	2	1
2932	TTEMSINGLES-----------FNL-000100----------	11	7	2
2932	TTEMSINGLES-----------FNL-000100----------	11	5	3
2932	TTEMSINGLES-----------FNL-000100----------	8	11	4
2932	TTEMSINGLES-----------FNL-000100----------	10	12	5
2932	TTEMSINGLES-----------FNL-000100----------	11	6	6
2932	TTEWSINGLES-----------FNL-000100----------	11	6	1
2932	TTEWSINGLES-----------FNL-000100----------	5	11	2
2932	TTEWSINGLES-----------FNL-000100----------	8	11	3
2932	TTEWSINGLES-----------FNL-000100----------	9	11	4
2932	TTEWSINGLES-----------FNL-000100----------	11	6	5
2932	TTEWSINGLES-----------FNL-000100----------	8	11	6
2932	TTEMSINGLES-----------SFNL000200----------	11	8	1
2932	TTEMSINGLES-----------SFNL000200----------	6	11	2
2932	TTEMSINGLES-----------SFNL000200----------	5	11	3
2932	TTEMSINGLES-----------SFNL000200----------	11	7	4
2932	TTEMSINGLES-----------SFNL000200----------	9	11	5
2932	TTEMSINGLES-----------SFNL000200----------	11	5	6
2932	TTEMSINGLES-----------SFNL000200----------	8	11	7
2932	TTEMSINGLES-----------SFNL000100----------	8	11	1
2932	TTEMSINGLES-----------SFNL000100----------	8	11	2
2932	TTEMSINGLES-----------SFNL000100----------	11	8	3
2932	TTEMSINGLES-----------SFNL000100----------	11	9	4
2932	TTEMSINGLES-----------SFNL000100----------	11	4	5
2932	TTEMSINGLES-----------SFNL000100----------	7	11	6
2932	TTEMSINGLES-----------SFNL000100----------	11	6	7
2932	TTEWDOUBLES-----------FNL-000100----------	11	6	1
2932	TTEWDOUBLES-----------FNL-000100----------	11	6	2
2932	TTEWDOUBLES-----------FNL-000100----------	12	10	3
2932	TTEWSINGLES-----------SFNL000100----------	11	4	1
2932	TTEWSINGLES-----------SFNL000100----------	11	7	2
2932	TTEWSINGLES-----------SFNL000100----------	13	15	3
2932	TTEWSINGLES-----------SFNL000100----------	11	9	4
2932	TTEWSINGLES-----------SFNL000100----------	11	9	5
2932	TTEWSINGLES-----------SFNL000200----------	11	9	1
2932	TTEWSINGLES-----------SFNL000200----------	11	5	2
2932	TTEWSINGLES-----------SFNL000200----------	12	10	3
2932	TTEWSINGLES-----------SFNL000200----------	11	7	4
2932	TTEMDOUBLES-----------FNL-000100----------	11	6	1
2932	TTEMDOUBLES-----------FNL-000100----------	11	5	2
2932	TTEMDOUBLES-----------FNL-000100----------	11	9	3
2932	TTEWSINGLES-----------QFNL000100----------	11	0	1
2932	TTEWSINGLES-----------QFNL000100----------	11	6	2
2932	TTEWSINGLES-----------QFNL000100----------	11	3	3
2932	TTEWSINGLES-----------QFNL000100----------	11	6	4
2932	TTEMSINGLES-----------QFNL000100----------	11	9	1
2932	TTEMSINGLES-----------QFNL000100----------	11	4	2
2932	TTEMSINGLES-----------QFNL000100----------	11	8	3
2932	TTEMSINGLES-----------QFNL000100----------	11	9	4
2932	TTEMSINGLES-----------QFNL000400----------	7	11	1
2932	TTEMSINGLES-----------QFNL000400----------	10	12	2
2932	TTEMSINGLES-----------QFNL000400----------	7	11	3
2932	TTEMSINGLES-----------QFNL000400----------	5	11	4
2932	TTEWSINGLES-----------QFNL000300----------	6	11	1
2932	TTEWSINGLES-----------QFNL000300----------	9	11	2
2932	TTEWSINGLES-----------QFNL000300----------	4	11	3
2932	TTEWSINGLES-----------QFNL000300----------	11	9	4
2932	TTEWSINGLES-----------QFNL000300----------	8	11	5
2932	TTEMDOUBLES-----------SFNL000100----------	11	9	1
2932	TTEMDOUBLES-----------SFNL000100----------	11	8	2
2932	TTEMDOUBLES-----------SFNL000100----------	11	4	3
2932	TTEWSINGLES-----------QFNL000200----------	11	5	1
2932	TTEWSINGLES-----------QFNL000200----------	11	8	2
2932	TTEWSINGLES-----------QFNL000200----------	7	11	3
2932	TTEWSINGLES-----------QFNL000200----------	12	10	4
2932	TTEWSINGLES-----------QFNL000200----------	9	11	5
2932	TTEWSINGLES-----------QFNL000200----------	6	11	6
2932	TTEWSINGLES-----------QFNL000200----------	11	8	7
2932	TTEMSINGLES-----------QFNL000200----------	11	7	1
2932	TTEMSINGLES-----------QFNL000200----------	5	11	2
2932	TTEMSINGLES-----------QFNL000200----------	11	4	3
2932	TTEMSINGLES-----------QFNL000200----------	11	5	4
2932	TTEMSINGLES-----------QFNL000200----------	11	5	5
2932	TTEMSINGLES-----------QFNL000300----------	10	12	1
2932	TTEMSINGLES-----------QFNL000300----------	8	11	2
2932	TTEMSINGLES-----------QFNL000300----------	11	6	3
2932	TTEMSINGLES-----------QFNL000300----------	7	11	4
2932	TTEMSINGLES-----------QFNL000300----------	7	11	5
2932	TTEWDOUBLES-----------SFNL000200----------	7	11	1
2932	TTEWDOUBLES-----------SFNL000200----------	9	11	2
2932	TTEWDOUBLES-----------SFNL000200----------	4	11	3
2932	TTEWDOUBLES-----------SFNL000100----------	11	13	1
2932	TTEWDOUBLES-----------SFNL000100----------	11	4	2
2932	TTEWDOUBLES-----------SFNL000100----------	11	2	3
2932	TTEWDOUBLES-----------SFNL000100----------	11	8	4
2932	TTEWSINGLES-----------QFNL000400----------	7	11	1
2932	TTEWSINGLES-----------QFNL000400----------	11	6	2
2932	TTEWSINGLES-----------QFNL000400----------	11	4	3
2932	TTEWSINGLES-----------QFNL000400----------	13	11	4
2932	TTEWSINGLES-----------QFNL000400----------	11	2	5
2932	TTEXDOUBLES-----------FNL-000100----------	11	6	1
2932	TTEXDOUBLES-----------FNL-000100----------	11	6	2
2932	TTEXDOUBLES-----------FNL-000100----------	11	6	3
2932	TTEMSINGLES-----------8FNL000700----------	9	11	1
2932	TTEMSINGLES-----------8FNL000700----------	11	4	2
2932	TTEMSINGLES-----------8FNL000700----------	5	11	3
2932	TTEMSINGLES-----------8FNL000700----------	8	11	4
2932	TTEXDOUBLES-----------SFNL000200----------	9	11	1
2932	TTEXDOUBLES-----------SFNL000200----------	11	13	2
2932	TTEXDOUBLES-----------SFNL000200----------	9	11	3
2932	TTEMDOUBLES-----------SFNL000200----------	8	11	1
2932	TTEMDOUBLES-----------SFNL000200----------	11	13	2
2932	TTEMDOUBLES-----------SFNL000200----------	2	11	3
2932	TTEWSINGLES-----------8FNL000800----------	6	11	1
2932	TTEWSINGLES-----------8FNL000800----------	9	11	2
2932	TTEWSINGLES-----------8FNL000800----------	7	11	3
2932	TTEWSINGLES-----------8FNL000100----------	11	4	1
2932	TTEWSINGLES-----------8FNL000100----------	11	1	2
2932	TTEWSINGLES-----------8FNL000100----------	11	5	3
2932	TTEMSINGLES-----------8FNL000500----------	11	6	1
2932	TTEMSINGLES-----------8FNL000500----------	11	6	2
2932	TTEMSINGLES-----------8FNL000500----------	11	5	3
2932	TTEWSINGLES-----------8FNL000700----------	11	7	1
2932	TTEWSINGLES-----------8FNL000700----------	12	10	2
2932	TTEWSINGLES-----------8FNL000700----------	11	9	3
