event_id	doc	score_a	score_x	num
2705	TTEWSINGLES-----------R32-001600----------	4	11	1
2705	TTEWSINGLES-----------R32-001600----------	4	11	2
2705	TTEWSINGLES-----------R32-001600----------	5	11	3
2705	TTEMSINGLES-----------FNL-000100----------	11	7	1
2705	TTEMSINGLES-----------FNL-000100----------	7	11	2
2705	TTEMSINGLES-----------FNL-000100----------	11	13	3
2705	TTEMSINGLES-----------FNL-000100----------	10	12	4
2705	TTEMSINGLES-----------FNL-000100----------	10	12	5
2705	TTEWSINGLES-----------FNL-000100----------	11	3	1
2705	TTEWSINGLES-----------FNL-000100----------	13	11	2
2705	TTEWSINGLES-----------FNL-000100----------	12	10	3
2705	TTEWSINGLES-----------FNL-000100----------	13	11	4
2705	TTEWSINGLES-----------SFNL000100----------	9	11	1
2705	TTEWSINGLES-----------SFNL000100----------	11	5	2
2705	TTEWSINGLES-----------SFNL000100----------	9	11	3
2705	TTEWSINGLES-----------SFNL000100----------	11	8	4
2705	TTEWSINGLES-----------SFNL000100----------	5	11	5
2705	TTEWSINGLES-----------SFNL000100----------	7	11	6
2705	TTEMSINGLES-----------SFNL000100----------	8	11	1
2705	TTEMSINGLES-----------SFNL000100----------	5	11	2
2705	TTEMSINGLES-----------SFNL000100----------	6	11	3
2705	TTEMSINGLES-----------SFNL000100----------	11	9	4
2705	TTEMSINGLES-----------SFNL000100----------	8	11	5
2705	TTEMSINGLES-----------QFNL000200----------	11	7	1
2705	TTEMSINGLES-----------QFNL000200----------	11	7	2
2705	TTEMSINGLES-----------QFNL000200----------	11	7	3
2705	TTEWSINGLES-----------SFNL000200----------	11	8	1
2705	TTEWSINGLES-----------SFNL000200----------	11	2	2
2705	TTEWSINGLES-----------SFNL000200----------	8	11	3
2705	TTEWSINGLES-----------SFNL000200----------	11	8	4
2705	TTEWSINGLES-----------SFNL000200----------	11	7	5
2705	TTEWSINGLES-----------QFNL000300----------	8	11	1
2705	TTEWSINGLES-----------QFNL000300----------	5	11	2
2705	TTEWSINGLES-----------QFNL000300----------	12	10	3
2705	TTEWSINGLES-----------QFNL000300----------	11	9	4
2705	TTEWSINGLES-----------QFNL000300----------	9	11	5
2705	TTEMSINGLES-----------QFNL000100----------	8	11	1
2705	TTEMSINGLES-----------QFNL000100----------	13	11	2
2705	TTEMSINGLES-----------QFNL000100----------	11	6	3
2705	TTEMSINGLES-----------QFNL000100----------	12	14	4
2705	TTEMSINGLES-----------QFNL000100----------	8	11	5
2705	TTEMSINGLES-----------SFNL000200----------	11	7	1
2705	TTEMSINGLES-----------SFNL000200----------	11	13	2
2705	TTEMSINGLES-----------SFNL000200----------	6	11	3
2705	TTEMSINGLES-----------SFNL000200----------	11	7	4
2705	TTEMSINGLES-----------SFNL000200----------	11	7	5
2705	TTEMSINGLES-----------SFNL000200----------	11	2	6
2705	TTEMSINGLES-----------QFNL000300----------	13	11	1
2705	TTEMSINGLES-----------QFNL000300----------	9	11	2
2705	TTEMSINGLES-----------QFNL000300----------	11	8	3
2705	TTEMSINGLES-----------QFNL000300----------	11	4	4
2705	TTEWSINGLES-----------QFNL000200----------	11	8	1
2705	TTEWSINGLES-----------QFNL000200----------	11	9	2
2705	TTEWSINGLES-----------QFNL000200----------	11	1	3
2705	TTEWSINGLES-----------QFNL000100----------	10	12	1
2705	TTEWSINGLES-----------QFNL000100----------	11	5	2
2705	TTEWSINGLES-----------QFNL000100----------	13	11	3
2705	TTEWSINGLES-----------QFNL000100----------	11	6	4
2705	TTEWSINGLES-----------QFNL000400----------	5	11	1
2705	TTEWSINGLES-----------QFNL000400----------	11	7	2
2705	TTEWSINGLES-----------QFNL000400----------	6	11	3
2705	TTEWSINGLES-----------QFNL000400----------	11	9	4
2705	TTEWSINGLES-----------QFNL000400----------	11	9	5
2705	TTEMSINGLES-----------QFNL000400----------	9	11	1
2705	TTEMSINGLES-----------QFNL000400----------	5	11	2
2705	TTEMSINGLES-----------QFNL000400----------	10	12	3
2705	TTEMSINGLES-----------8FNL000200----------	8	11	1
2705	TTEMSINGLES-----------8FNL000200----------	9	11	2
2705	TTEMSINGLES-----------8FNL000200----------	8	11	3
2705	TTEWSINGLES-----------8FNL000600----------	11	6	1
2705	TTEWSINGLES-----------8FNL000600----------	10	12	2
2705	TTEWSINGLES-----------8FNL000600----------	8	11	3
2705	TTEWSINGLES-----------8FNL000600----------	5	11	4
2705	TTEWSINGLES-----------8FNL000400----------	14	12	1
2705	TTEWSINGLES-----------8FNL000400----------	3	11	2
2705	TTEWSINGLES-----------8FNL000400----------	12	10	3
2705	TTEWSINGLES-----------8FNL000400----------	8	11	4
2705	TTEWSINGLES-----------8FNL000400----------	7	11	5
2705	TTEMSINGLES-----------8FNL000300----------	11	6	1
2705	TTEMSINGLES-----------8FNL000300----------	11	7	2
2705	TTEMSINGLES-----------8FNL000300----------	12	10	3
2705	TTEWSINGLES-----------8FNL000500----------	9	11	1
2705	TTEWSINGLES-----------8FNL000500----------	8	11	2
2705	TTEWSINGLES-----------8FNL000500----------	16	18	3
2705	TTEWSINGLES-----------8FNL000200----------	6	11	1
2705	TTEWSINGLES-----------8FNL000200----------	2	11	2
2705	TTEWSINGLES-----------8FNL000200----------	12	10	3
2705	TTEWSINGLES-----------8FNL000200----------	6	11	4
2705	TTEMSINGLES-----------8FNL000500----------	11	6	1
2705	TTEMSINGLES-----------8FNL000500----------	11	9	2
2705	TTEMSINGLES-----------8FNL000500----------	9	11	3
2705	TTEMSINGLES-----------8FNL000500----------	11	6	4
2705	TTEWSINGLES-----------8FNL000300----------	16	14	1
2705	TTEWSINGLES-----------8FNL000300----------	11	8	2
2705	TTEWSINGLES-----------8FNL000300----------	11	7	3
2705	TTEMSINGLES-----------8FNL000600----------	9	11	1
2705	TTEMSINGLES-----------8FNL000600----------	6	11	2
2705	TTEMSINGLES-----------8FNL000600----------	10	12	3
2705	TTEWSINGLES-----------8FNL000100----------	11	9	1
2705	TTEWSINGLES-----------8FNL000100----------	11	3	2
2705	TTEWSINGLES-----------8FNL000100----------	15	13	3
2705	TTEMSINGLES-----------8FNL000400----------	8	11	1
2705	TTEMSINGLES-----------8FNL000400----------	5	11	2
2705	TTEMSINGLES-----------8FNL000400----------	11	7	3
2705	TTEMSINGLES-----------8FNL000400----------	11	7	4
2705	TTEMSINGLES-----------8FNL000400----------	9	11	5
2705	TTEWSINGLES-----------R32-000900----------	8	11	1
2705	TTEWSINGLES-----------R32-000900----------	6	11	2
2705	TTEWSINGLES-----------R32-000900----------	8	11	3
2705	TTEMSINGLES-----------8FNL000800----------	11	9	1
2705	TTEMSINGLES-----------8FNL000800----------	5	11	2
2705	TTEMSINGLES-----------8FNL000800----------	6	11	3
2705	TTEMSINGLES-----------8FNL000800----------	9	11	4
2705	TTEMSINGLES-----------8FNL000100----------	7	11	1
2705	TTEMSINGLES-----------8FNL000100----------	11	9	2
2705	TTEMSINGLES-----------8FNL000100----------	8	11	3
2705	TTEMSINGLES-----------8FNL000100----------	11	13	4
2705	TTEMSINGLES-----------8FNL000700----------	9	11	1
2705	TTEMSINGLES-----------8FNL000700----------	9	11	2
2705	TTEMSINGLES-----------8FNL000700----------	11	8	3
2705	TTEMSINGLES-----------8FNL000700----------	9	11	4
