event_id	doc	score_a	score_x	num
2629	TTEWSINGLES-----------FNL-000100----------	11	7	1
2629	TTEWSINGLES-----------FNL-000100----------	10	12	2
2629	TTEWSINGLES-----------FNL-000100----------	13	11	3
2629	TTEWSINGLES-----------FNL-000100----------	11	6	4
2629	TTEWSINGLES-----------FNL-000100----------	11	7	5
2629	TTEWDOUBLES-----------FNL-000100----------	5	11	1
2629	TTEWDOUBLES-----------FNL-000100----------	3	11	2
2629	TTEWDOUBLES-----------FNL-000100----------	11	9	3
2629	TTEWDOUBLES-----------FNL-000100----------	11	4	4
2629	TTEWDOUBLES-----------FNL-000100----------	13	11	5
2629	TTEMSINGLES-----------QFNL000100----------	11	6	1
2629	TTEMSINGLES-----------QFNL000100----------	5	11	2
2629	TTEMSINGLES-----------QFNL000100----------	8	11	3
2629	TTEMSINGLES-----------QFNL000100----------	12	10	4
2629	TTEMSINGLES-----------QFNL000100----------	11	6	5
2629	TTEMSINGLES-----------QFNL000100----------	13	11	6
2629	TTEWSINGLES-----------SFNL000200----------	7	11	1
2629	TTEWSINGLES-----------SFNL000200----------	12	10	2
2629	TTEWSINGLES-----------SFNL000200----------	8	11	3
2629	TTEWSINGLES-----------SFNL000200----------	8	11	4
2629	TTEWSINGLES-----------SFNL000200----------	5	11	5
2629	TTEMSINGLES-----------FNL-000100----------	11	5	1
2629	TTEMSINGLES-----------FNL-000100----------	13	11	2
2629	TTEMSINGLES-----------FNL-000100----------	8	11	3
2629	TTEMSINGLES-----------FNL-000100----------	11	9	4
2629	TTEMSINGLES-----------FNL-000100----------	11	9	5
2629	TTEWSINGLES-----------SFNL000100----------	11	4	1
2629	TTEWSINGLES-----------SFNL000100----------	11	8	2
2629	TTEWSINGLES-----------SFNL000100----------	11	7	3
2629	TTEWSINGLES-----------SFNL000100----------	11	8	4
2629	TTEMDOUBLES-----------FNL-000100----------	9	11	1
2629	TTEMDOUBLES-----------FNL-000100----------	13	11	2
2629	TTEMDOUBLES-----------FNL-000100----------	11	7	3
2629	TTEMDOUBLES-----------FNL-000100----------	11	4	4
2629	TTEMSINGLES-----------SFNL000200----------	6	11	1
2629	TTEMSINGLES-----------SFNL000200----------	6	11	2
2629	TTEMSINGLES-----------SFNL000200----------	4	11	3
2629	TTEMSINGLES-----------SFNL000200----------	11	8	4
2629	TTEMSINGLES-----------SFNL000200----------	8	11	5
2629	TTEMSINGLES-----------SFNL000100----------	11	6	1
2629	TTEMSINGLES-----------SFNL000100----------	13	11	2
2629	TTEMSINGLES-----------SFNL000100----------	11	6	3
2629	TTEMSINGLES-----------SFNL000100----------	9	11	4
2629	TTEMSINGLES-----------SFNL000100----------	11	5	5
2629	TTEWSINGLES-----------QFNL000300----------	6	11	1
2629	TTEWSINGLES-----------QFNL000300----------	11	13	2
2629	TTEWSINGLES-----------QFNL000300----------	12	10	3
2629	TTEWSINGLES-----------QFNL000300----------	7	11	4
2629	TTEWSINGLES-----------QFNL000300----------	3	11	5
2629	TTEWDOUBLES-----------SFNL000100----------	12	10	1
2629	TTEWDOUBLES-----------SFNL000100----------	14	12	2
2629	TTEWDOUBLES-----------SFNL000100----------	11	3	3
2629	TTEMSINGLES-----------QFNL000300----------	11	7	1
2629	TTEMSINGLES-----------QFNL000300----------	12	10	2
2629	TTEMSINGLES-----------QFNL000300----------	11	2	3
2629	TTEMSINGLES-----------QFNL000300----------	11	2	4
2629	TTEMSINGLES-----------QFNL000400----------	2	11	1
2629	TTEMSINGLES-----------QFNL000400----------	4	11	2
2629	TTEMSINGLES-----------QFNL000400----------	4	11	3
2629	TTEMSINGLES-----------QFNL000400----------	5	11	4
2629	TTEWDOUBLES-----------SFNL000200----------	11	8	1
2629	TTEWDOUBLES-----------SFNL000200----------	12	10	2
2629	TTEWDOUBLES-----------SFNL000200----------	7	11	3
2629	TTEWDOUBLES-----------SFNL000200----------	11	8	4
2629	TTEMSINGLES-----------QFNL000200----------	11	8	1
2629	TTEMSINGLES-----------QFNL000200----------	11	6	2
2629	TTEMSINGLES-----------QFNL000200----------	12	10	3
2629	TTEMSINGLES-----------QFNL000200----------	6	11	4
2629	TTEMSINGLES-----------QFNL000200----------	11	9	5
2629	TTEMDOUBLES-----------QFNL000200----------	11	5	1
2629	TTEMDOUBLES-----------QFNL000200----------	11	5	2
2629	TTEMDOUBLES-----------QFNL000200----------	11	5	3
2629	TTEWSINGLES-----------QFNL000400----------	8	11	1
2629	TTEWSINGLES-----------QFNL000400----------	11	7	2
2629	TTEWSINGLES-----------QFNL000400----------	11	8	3
2629	TTEWSINGLES-----------QFNL000400----------	11	5	4
2629	TTEWSINGLES-----------QFNL000400----------	11	6	5
2629	TTEWDOUBLES-----------QFNL000400----------	11	7	1
2629	TTEWDOUBLES-----------QFNL000400----------	2	11	2
2629	TTEWDOUBLES-----------QFNL000400----------	4	11	3
2629	TTEWDOUBLES-----------QFNL000400----------	9	11	4
2629	TTEWSINGLES-----------QFNL000100----------	11	3	1
2629	TTEWSINGLES-----------QFNL000100----------	5	11	2
2629	TTEWSINGLES-----------QFNL000100----------	11	6	3
2629	TTEWSINGLES-----------QFNL000100----------	11	5	4
2629	TTEWSINGLES-----------QFNL000100----------	7	11	5
2629	TTEWSINGLES-----------QFNL000100----------	10	12	6
2629	TTEWSINGLES-----------QFNL000100----------	11	5	7
2629	TTEWSINGLES-----------QFNL000200----------	7	11	1
2629	TTEWSINGLES-----------QFNL000200----------	11	7	2
2629	TTEWSINGLES-----------QFNL000200----------	11	9	3
2629	TTEWSINGLES-----------QFNL000200----------	12	10	4
2629	TTEWSINGLES-----------QFNL000200----------	11	2	5
2629	TTEMDOUBLES-----------SFNL000100----------	10	12	1
2629	TTEMDOUBLES-----------SFNL000100----------	7	11	2
2629	TTEMDOUBLES-----------SFNL000100----------	11	9	3
2629	TTEMDOUBLES-----------SFNL000100----------	9	11	4
2629	TTEWSINGLES-----------8FNL000300----------	11	7	1
2629	TTEWSINGLES-----------8FNL000300----------	11	3	2
2629	TTEWSINGLES-----------8FNL000300----------	6	11	3
2629	TTEWSINGLES-----------8FNL000300----------	11	8	4
2629	TTEMSINGLES-----------8FNL000500----------	12	10	1
2629	TTEMSINGLES-----------8FNL000500----------	11	8	2
2629	TTEMSINGLES-----------8FNL000500----------	7	11	3
2629	TTEMSINGLES-----------8FNL000500----------	11	5	4
2629	TTEMDOUBLES-----------SFNL000200----------	13	11	1
2629	TTEMDOUBLES-----------SFNL000200----------	6	11	2
2629	TTEMDOUBLES-----------SFNL000200----------	13	11	3
2629	TTEMDOUBLES-----------SFNL000200----------	11	5	4
2629	TTEMDOUBLES-----------QFNL000100----------	8	11	1
2629	TTEMDOUBLES-----------QFNL000100----------	12	10	2
2629	TTEMDOUBLES-----------QFNL000100----------	11	7	3
2629	TTEMDOUBLES-----------QFNL000100----------	4	11	4
2629	TTEMDOUBLES-----------QFNL000100----------	11	3	5
2629	TTEWSINGLES-----------8FNL000200----------	9	11	1
2629	TTEWSINGLES-----------8FNL000200----------	11	4	2
2629	TTEWSINGLES-----------8FNL000200----------	11	6	3
2629	TTEWSINGLES-----------8FNL000200----------	11	7	4
2629	TTEMSINGLES-----------8FNL000800----------	3	11	1
2629	TTEMSINGLES-----------8FNL000800----------	9	11	2
2629	TTEMSINGLES-----------8FNL000800----------	6	11	3
2629	TTEMSINGLES-----------8FNL000700----------	10	12	1
2629	TTEMSINGLES-----------8FNL000700----------	8	11	2
2629	TTEMSINGLES-----------8FNL000700----------	11	4	3
2629	TTEMSINGLES-----------8FNL000700----------	11	5	4
2629	TTEMSINGLES-----------8FNL000700----------	9	11	5
2629	TTEMDOUBLES-----------QFNL000300----------	9	11	1
2629	TTEMDOUBLES-----------QFNL000300----------	16	14	2
2629	TTEMDOUBLES-----------QFNL000300----------	10	12	3
2629	TTEMDOUBLES-----------QFNL000300----------	8	11	4
2629	TTEWDOUBLES-----------QFNL000200----------	8	11	1
2629	TTEWDOUBLES-----------QFNL000200----------	11	9	2
2629	TTEWDOUBLES-----------QFNL000200----------	5	11	3
2629	TTEWDOUBLES-----------QFNL000200----------	5	11	4
2629	TTEXDOUBLES-----------FNL-000100----------	11	2	1
2629	TTEXDOUBLES-----------FNL-000100----------	5	11	2
2629	TTEXDOUBLES-----------FNL-000100----------	11	9	3
2629	TTEXDOUBLES-----------FNL-000100----------	11	8	4
2629	TTEMSINGLES-----------8FNL000600----------	11	7	1
2629	TTEMSINGLES-----------8FNL000600----------	13	11	2
2629	TTEMSINGLES-----------8FNL000600----------	11	7	3
2629	TTEWDOUBLES-----------QFNL000300----------	12	10	1
2629	TTEWDOUBLES-----------QFNL000300----------	11	5	2
2629	TTEWDOUBLES-----------QFNL000300----------	10	12	3
2629	TTEWDOUBLES-----------QFNL000300----------	11	4	4
2629	TTEWDOUBLES-----------8FNL000200----------	8	11	1
2629	TTEWDOUBLES-----------8FNL000200----------	6	11	2
2629	TTEWDOUBLES-----------8FNL000200----------	11	7	3
2629	TTEWDOUBLES-----------8FNL000200----------	5	11	4
2629	TTEMDOUBLES-----------8FNL000200----------	9	11	1
2629	TTEMDOUBLES-----------8FNL000200----------	11	8	2
2629	TTEMDOUBLES-----------8FNL000200----------	13	15	3
2629	TTEMDOUBLES-----------8FNL000200----------	3	11	4
2629	TTEWSINGLES-----------8FNL000400----------	11	6	1
2629	TTEWSINGLES-----------8FNL000400----------	11	8	2
2629	TTEWSINGLES-----------8FNL000400----------	11	8	3
2629	TTEMDOUBLES-----------QFNL000400----------	9	11	1
2629	TTEMDOUBLES-----------QFNL000400----------	15	13	2
2629	TTEMDOUBLES-----------QFNL000400----------	11	6	3
2629	TTEMDOUBLES-----------QFNL000400----------	4	11	4
2629	TTEMDOUBLES-----------QFNL000400----------	10	12	5
2629	TTEWSINGLES-----------8FNL000500----------	11	9	1
2629	TTEWSINGLES-----------8FNL000500----------	5	11	2
2629	TTEWSINGLES-----------8FNL000500----------	9	11	3
2629	TTEWSINGLES-----------8FNL000500----------	9	11	4
2629	TTEWSINGLES-----------8FNL000800----------	11	5	1
2629	TTEWSINGLES-----------8FNL000800----------	11	8	2
2629	TTEWSINGLES-----------8FNL000800----------	11	5	3
2629	TTEMSINGLES-----------8FNL000300----------	11	4	1
2629	TTEMSINGLES-----------8FNL000300----------	11	6	2
2629	TTEMSINGLES-----------8FNL000300----------	11	7	3
2629	TTEMSINGLES-----------8FNL000400----------	11	8	1
2629	TTEMSINGLES-----------8FNL000400----------	11	8	2
2629	TTEMSINGLES-----------8FNL000400----------	6	11	3
2629	TTEMSINGLES-----------8FNL000400----------	9	11	4
2629	TTEMSINGLES-----------8FNL000400----------	11	8	5
2629	TTEWDOUBLES-----------8FNL000800----------	4	11	1
2629	TTEWDOUBLES-----------8FNL000800----------	3	11	2
2629	TTEWDOUBLES-----------8FNL000800----------	10	12	3
2629	TTEXDOUBLES-----------SFNL000200----------	11	4	1
2629	TTEXDOUBLES-----------SFNL000200----------	11	8	2
2629	TTEXDOUBLES-----------SFNL000200----------	12	10	3
2629	TTEWDOUBLES-----------8FNL000700----------	8	11	1
2629	TTEWDOUBLES-----------8FNL000700----------	11	6	2
2629	TTEWDOUBLES-----------8FNL000700----------	11	9	3
2629	TTEWDOUBLES-----------8FNL000700----------	10	12	4
2629	TTEWDOUBLES-----------8FNL000700----------	11	9	5
2629	TTEWSINGLES-----------8FNL000100----------	11	6	1
2629	TTEWSINGLES-----------8FNL000100----------	11	8	2
2629	TTEWSINGLES-----------8FNL000100----------	11	6	3
2629	TTEWDOUBLES-----------QFNL000100----------	11	6	1
2629	TTEWDOUBLES-----------QFNL000100----------	11	6	2
2629	TTEWDOUBLES-----------QFNL000100----------	7	11	3
2629	TTEWDOUBLES-----------QFNL000100----------	11	5	4
2629	TTEMDOUBLES-----------8FNL000100----------	6	11	1
2629	TTEMDOUBLES-----------8FNL000100----------	11	7	2
2629	TTEMDOUBLES-----------8FNL000100----------	11	5	3
2629	TTEMDOUBLES-----------8FNL000100----------	8	11	4
2629	TTEMDOUBLES-----------8FNL000100----------	11	5	5
2629	TTEMSINGLES-----------8FNL000100----------	11	3	1
2629	TTEMSINGLES-----------8FNL000100----------	11	2	2
2629	TTEMSINGLES-----------8FNL000100----------	11	5	3
2629	TTEXDOUBLES-----------SFNL000100----------	11	5	1
2629	TTEXDOUBLES-----------SFNL000100----------	11	3	2
2629	TTEXDOUBLES-----------SFNL000100----------	7	11	3
2629	TTEXDOUBLES-----------SFNL000100----------	11	9	4
2629	TTEWDOUBLES-----------8FNL000100----------	11	4	1
2629	TTEWDOUBLES-----------8FNL000100----------	11	7	2
2629	TTEWDOUBLES-----------8FNL000100----------	11	3	3
2629	TTEMDOUBLES-----------8FNL000800----------	13	11	1
