event_id	doc	score_a	score_x	num
2776	TTEWSINGLES-----------FNL-000100----------	12	10	1
2776	TTEWSINGLES-----------FNL-000100----------	11	6	2
2776	TTEWSINGLES-----------FNL-000100----------	8	11	3
2776	TTEWSINGLES-----------FNL-000100----------	11	5	4
2776	TTEWSINGLES-----------FNL-000100----------	6	11	5
2776	TTEWSINGLES-----------FNL-000100----------	11	7	6
2776	TTEWDOUBLES-----------FNL-000100----------	10	12	1
2776	TTEWDOUBLES-----------FNL-000100----------	11	8	2
2776	TTEWDOUBLES-----------FNL-000100----------	4	11	3
2776	TTEWDOUBLES-----------FNL-000100----------	10	12	4
2776	TTEWSINGLES-----------SFNL000100----------	11	9	1
2776	TTEWSINGLES-----------SFNL000100----------	9	11	2
2776	TTEWSINGLES-----------SFNL000100----------	11	7	3
2776	TTEWSINGLES-----------SFNL000100----------	11	7	4
2776	TTEWSINGLES-----------SFNL000100----------	11	7	5
2776	TTEWDOUBLES-----------SFNL000100----------	11	9	1
2776	TTEWDOUBLES-----------SFNL000100----------	11	9	2
2776	TTEWDOUBLES-----------SFNL000100----------	11	8	3
2776	TTEWDOUBLES-----------QFNL000200----------	11	9	1
2776	TTEWDOUBLES-----------QFNL000200----------	11	8	2
2776	TTEWDOUBLES-----------QFNL000200----------	11	2	3
2776	TTEWDOUBLES-----------QFNL000400----------	10	12	1
2776	TTEWDOUBLES-----------QFNL000400----------	2	11	2
2776	TTEWDOUBLES-----------QFNL000400----------	4	11	3
2776	TTEWSINGLES-----------QFNL000200----------	11	8	1
2776	TTEWSINGLES-----------QFNL000200----------	11	2	2
2776	TTEWSINGLES-----------QFNL000200----------	11	6	3
2776	TTEWDOUBLES-----------QFNL000100----------	6	11	1
2776	TTEWDOUBLES-----------QFNL000100----------	11	6	2
2776	TTEWDOUBLES-----------QFNL000100----------	11	2	3
2776	TTEWDOUBLES-----------QFNL000100----------	7	11	4
2776	TTEWDOUBLES-----------QFNL000100----------	3	11	5
2776	TTEWDOUBLES-----------QFNL000300----------	9	11	1
2776	TTEWDOUBLES-----------QFNL000300----------	7	11	2
2776	TTEWDOUBLES-----------QFNL000300----------	8	11	3
2776	TTEWDOUBLES-----------SFNL000200----------	11	5	1
2776	TTEWDOUBLES-----------SFNL000200----------	9	11	2
2776	TTEWDOUBLES-----------SFNL000200----------	11	8	3
2776	TTEWDOUBLES-----------SFNL000200----------	11	2	4
2776	TTEWSINGLES-----------QFNL000100----------	14	12	1
2776	TTEWSINGLES-----------QFNL000100----------	11	4	2
2776	TTEWSINGLES-----------QFNL000100----------	11	7	3
2776	TTEWSINGLES-----------SFNL000200----------	12	10	1
2776	TTEWSINGLES-----------SFNL000200----------	11	5	2
2776	TTEWSINGLES-----------SFNL000200----------	3	11	3
2776	TTEWSINGLES-----------SFNL000200----------	11	8	4
2776	TTEWSINGLES-----------SFNL000200----------	12	10	5
2776	TTEWSINGLES-----------QFNL000400----------	11	9	1
2776	TTEWSINGLES-----------QFNL000400----------	11	4	2
2776	TTEWSINGLES-----------QFNL000400----------	11	5	3
2776	TTEWSINGLES-----------QFNL000300----------	6	11	1
2776	TTEWSINGLES-----------QFNL000300----------	8	11	2
2776	TTEWSINGLES-----------QFNL000300----------	11	9	3
2776	TTEWSINGLES-----------QFNL000300----------	8	11	4
2776	TTEWSINGLES-----------8FNL000100----------	6	11	1
2776	TTEWSINGLES-----------8FNL000100----------	11	9	2
2776	TTEWSINGLES-----------8FNL000100----------	11	8	3
2776	TTEWSINGLES-----------8FNL000100----------	3	11	4
2776	TTEWSINGLES-----------8FNL000100----------	11	6	5
2776	TTEWSINGLES-----------8FNL000200----------	6	11	1
2776	TTEWSINGLES-----------8FNL000200----------	13	11	2
2776	TTEWSINGLES-----------8FNL000200----------	6	11	3
2776	TTEWSINGLES-----------8FNL000200----------	12	10	4
2776	TTEWSINGLES-----------8FNL000200----------	11	8	5
2776	TTEWSINGLES-----------8FNL000700----------	12	10	1
2776	TTEWSINGLES-----------8FNL000700----------	9	11	2
2776	TTEWSINGLES-----------8FNL000700----------	8	11	3
2776	TTEWSINGLES-----------8FNL000700----------	12	10	4
2776	TTEWSINGLES-----------8FNL000700----------	3	11	5
2776	TTEWSINGLES-----------8FNL000800----------	10	12	1
2776	TTEWSINGLES-----------8FNL000800----------	8	11	2
2776	TTEWSINGLES-----------8FNL000800----------	7	11	3
2776	TTEWSINGLES-----------8FNL000400----------	6	11	1
2776	TTEWSINGLES-----------8FNL000400----------	11	9	2
2776	TTEWSINGLES-----------8FNL000400----------	3	11	3
2776	TTEWSINGLES-----------8FNL000400----------	5	11	4
2776	TTEWSINGLES-----------8FNL000500----------	11	6	1
2776	TTEWSINGLES-----------8FNL000500----------	11	7	2
2776	TTEWSINGLES-----------8FNL000500----------	12	10	3
2776	TTEWSINGLES-----------8FNL000300----------	11	5	1
2776	TTEWSINGLES-----------8FNL000300----------	15	17	2
2776	TTEWSINGLES-----------8FNL000300----------	7	11	3
2776	TTEWSINGLES-----------8FNL000300----------	11	8	4
2776	TTEWSINGLES-----------8FNL000300----------	11	7	5
2776	TTEWSINGLES-----------8FNL000600----------	6	11	1
2776	TTEWSINGLES-----------8FNL000600----------	6	11	2
2776	TTEWSINGLES-----------8FNL000600----------	13	11	3
2776	TTEWSINGLES-----------8FNL000600----------	5	11	4
