event_id	doc	score_a	score_x	num
2871	TTEWSINGLES-----------8FNL000800----------	10	12	1
2871	TTEWSINGLES-----------8FNL000800----------	4	11	2
2871	TTEWSINGLES-----------8FNL000800----------	11	3	3
2871	TTEWSINGLES-----------8FNL000800----------	10	9	4
2868	TTEMSINGLES-----------FNL-000100----------	11	7	1
2868	TTEMSINGLES-----------FNL-000100----------	11	7	2
2868	TTEMSINGLES-----------FNL-000100----------	7	11	3
2868	TTEMSINGLES-----------FNL-000100----------	12	10	4
2868	TTEMSINGLES-----------FNL-000100----------	11	6	5
2868	TTEWSINGLES-----------FNL-000100----------	10	12	1
2868	TTEWSINGLES-----------FNL-000100----------	11	9	2
2868	TTEWSINGLES-----------FNL-000100----------	11	6	3
2868	TTEWSINGLES-----------FNL-000100----------	11	8	4
2868	TTEWSINGLES-----------FNL-000100----------	11	6	5
2868	TTEWSINGLES-----------SFNL000100----------	8	11	1
2868	TTEWSINGLES-----------SFNL000100----------	15	13	2
2868	TTEWSINGLES-----------SFNL000100----------	9	11	3
2868	TTEWSINGLES-----------SFNL000100----------	11	9	4
2868	TTEWSINGLES-----------SFNL000100----------	10	12	5
2868	TTEMSINGLES-----------SFNL000200----------	5	11	1
2868	TTEMSINGLES-----------SFNL000200----------	12	14	2
2868	TTEMSINGLES-----------SFNL000200----------	11	5	3
2868	TTEMSINGLES-----------SFNL000200----------	12	10	4
2868	TTEMSINGLES-----------SFNL000200----------	11	8	5
2868	TTEWDOUBLES-----------FNL-000100----------	11	9	1
2868	TTEWDOUBLES-----------FNL-000100----------	11	6	2
2868	TTEWDOUBLES-----------FNL-000100----------	12	10	3
2868	TTEMDOUBLES-----------FNL-000100----------	8	11	1
2868	TTEMDOUBLES-----------FNL-000100----------	9	11	2
2868	TTEMDOUBLES-----------FNL-000100----------	8	11	3
2868	TTEMSINGLES-----------SFNL000100----------	10	12	1
2868	TTEMSINGLES-----------SFNL000100----------	11	5	2
2868	TTEMSINGLES-----------SFNL000100----------	11	7	3
2868	TTEMSINGLES-----------SFNL000100----------	11	9	4
2868	TTEWDOUBLES-----------SFNL000200----------	12	14	1
2868	TTEWDOUBLES-----------SFNL000200----------	11	6	2
2868	TTEWDOUBLES-----------SFNL000200----------	6	11	3
2868	TTEWDOUBLES-----------SFNL000200----------	7	11	4
2868	TTEMDOUBLES-----------SFNL000100----------	10	12	1
2868	TTEMDOUBLES-----------SFNL000100----------	11	7	2
2868	TTEMDOUBLES-----------SFNL000100----------	11	4	3
2868	TTEMDOUBLES-----------SFNL000100----------	8	11	4
2868	TTEMDOUBLES-----------SFNL000100----------	8	11	5
2868	TTEXDOUBLES-----------FNL-000100----------	11	4	1
2868	TTEXDOUBLES-----------FNL-000100----------	11	9	2
2868	TTEXDOUBLES-----------FNL-000100----------	11	4	3
2868	TTEWSINGLES-----------SFNL000200----------	7	11	1
2868	TTEWSINGLES-----------SFNL000200----------	11	7	2
2868	TTEWSINGLES-----------SFNL000200----------	2	11	3
2868	TTEWSINGLES-----------SFNL000200----------	13	11	4
2868	TTEWSINGLES-----------SFNL000200----------	4	11	5
2868	TTEMDOUBLES-----------SFNL000200----------	4	11	1
2868	TTEMDOUBLES-----------SFNL000200----------	9	11	2
2868	TTEMDOUBLES-----------SFNL000200----------	5	11	3
2868	TTEWDOUBLES-----------SFNL000100----------	7	11	1
2868	TTEWDOUBLES-----------SFNL000100----------	5	11	2
2868	TTEWDOUBLES-----------SFNL000100----------	10	12	3
2868	TTEMSINGLES-----------QFNL000200----------	8	11	1
2868	TTEMSINGLES-----------QFNL000200----------	11	9	2
2868	TTEMSINGLES-----------QFNL000200----------	7	11	3
2868	TTEMSINGLES-----------QFNL000200----------	11	9	4
2868	TTEMSINGLES-----------QFNL000200----------	6	11	5
2868	TTEWSINGLES-----------QFNL000400----------	11	7	1
2868	TTEWSINGLES-----------QFNL000400----------	9	11	2
2868	TTEWSINGLES-----------QFNL000400----------	4	11	3
2868	TTEWSINGLES-----------QFNL000400----------	9	11	4
2868	TTEMSINGLES-----------8FNL000300----------	11	5	1
2868	TTEMSINGLES-----------8FNL000300----------	11	9	2
2868	TTEMSINGLES-----------8FNL000300----------	11	8	3
2868	TTEMSINGLES-----------QFNL000400----------	11	9	1
2868	TTEMSINGLES-----------QFNL000400----------	10	12	2
2868	TTEMSINGLES-----------QFNL000400----------	11	5	3
2868	TTEMSINGLES-----------QFNL000400----------	13	15	4
2868	TTEMSINGLES-----------QFNL000400----------	8	11	5
2868	TTEWSINGLES-----------QFNL000300----------	11	6	1
2868	TTEWSINGLES-----------QFNL000300----------	14	12	2
2868	TTEWSINGLES-----------QFNL000300----------	11	5	3
2868	TTEWSINGLES-----------8FNL000800----------	9	11	1
2868	TTEWSINGLES-----------8FNL000800----------	11	4	2
2868	TTEWSINGLES-----------8FNL000800----------	12	10	3
2868	TTEWSINGLES-----------8FNL000800----------	11	7	4
2868	TTEMSINGLES-----------QFNL000300----------	3	11	1
2868	TTEMSINGLES-----------QFNL000300----------	15	13	2
2868	TTEMSINGLES-----------QFNL000300----------	11	9	3
2868	TTEMSINGLES-----------QFNL000300----------	8	11	4
2868	TTEMSINGLES-----------QFNL000300----------	11	5	5
2868	TTEMSINGLES-----------QFNL000100----------	11	4	1
2868	TTEMSINGLES-----------QFNL000100----------	14	12	2
2868	TTEMSINGLES-----------QFNL000100----------	11	6	3
2868	TTEWSINGLES-----------8FNL000400----------	11	3	1
2868	TTEWSINGLES-----------8FNL000400----------	11	13	2
2868	TTEWSINGLES-----------8FNL000400----------	11	6	3
2868	TTEWSINGLES-----------8FNL000400----------	5	11	4
2868	TTEWSINGLES-----------8FNL000400----------	8	11	5
2868	TTEWSINGLES-----------QFNL000100----------	9	11	1
2868	TTEWSINGLES-----------QFNL000100----------	11	3	2
2868	TTEWSINGLES-----------QFNL000100----------	11	9	3
2868	TTEWSINGLES-----------QFNL000100----------	9	11	4
2868	TTEWSINGLES-----------QFNL000100----------	6	11	5
2868	TTEWSINGLES-----------QFNL000200----------	11	6	1
2868	TTEWSINGLES-----------QFNL000200----------	11	9	2
2868	TTEWSINGLES-----------QFNL000200----------	11	8	3
2868	TTEMDOUBLES-----------QFNL000300----------	10	12	1
2868	TTEMDOUBLES-----------QFNL000300----------	11	13	2
