id	eventId	documentCode	messagePayload	subEventType	fullResults	extended_info	match_card
365494	2234	TTEMDOUBLES-----------8FNL000600----------		Men Doubles	OFFICIAL		
365156	2234	TTEMDOUBLES-----------8FNL000300----------		Men Doubles	OFFICIAL		
364870	2234	TTEWDOUBLES-----------8FNL000700----------		Women Doubles	OFFICIAL		
364753	2234	TTEWDOUBLES-----------8FNL000200----------		Women Doubles	OFFICIAL		
364317	2234	TTEXDOUBLES-----------SFNL000200----------		Mixed Doubles	OFFICIAL		
364161	2234	TTEWDOUBLES-----------8FNL000300----------		Women Doubles	OFFICIAL		
364093	2234	TTEXDOUBLES-----------SFNL000100----------		Mixed Doubles	OFFICIAL		
363812	2234	TTEXDOUBLES-----------QFNL000300----------		Mixed Doubles	OFFICIAL		
363734	2234	TTEXDOUBLES-----------QFNL000400----------		Mixed Doubles	OFFICIAL		
363686	2234	TTEXDOUBLES-----------QFNL000100----------		Mixed Doubles	OFFICIAL		
363574	2234	TTEXDOUBLES-----------QFNL000200----------		Mixed Doubles	OFFICIAL		
363039	2234	TTEMSINGLES-----------8FNL000700----------		Men Singles	OFFICIAL		
362523	2234	TTEMSINGLES-----------8FNL000800----------		Men Singles	OFFICIAL		
362520	2234	TTEMSINGLES-----------8FNL000600----------		Men Singles	OFFICIAL		
362517	2234	TTEMSINGLES-----------8FNL000500----------		Men Singles	OFFICIAL		
362514	2234	TTEMSINGLES-----------8FNL000400----------		Men Singles	OFFICIAL		
362511	2234	TTEMSINGLES-----------8FNL000300----------		Men Singles	OFFICIAL		
362508	2234	TTEMSINGLES-----------8FNL000200----------		Men Singles	OFFICIAL		
362505	2234	TTEMSINGLES-----------8FNL000100----------		Men Singles	OFFICIAL		
362502	2234	TTEWSINGLES-----------8FNL000800----------		Women Singles	OFFICIAL		
362500	2234	TTEWSINGLES-----------8FNL000600----------		Women Singles	OFFICIAL		
362498	2234	TTEWSINGLES-----------8FNL000500----------		Women Singles	OFFICIAL		
362496	2234	TTEWSINGLES-----------8FNL000300----------		Women Singles	OFFICIAL		
362494	2234	TTEWSINGLES-----------8FNL000200----------		Women Singles	OFFICIAL		
362492	2234	TTEWSINGLES-----------8FNL000100----------		Women Singles	OFFICIAL		
362484	2234	TTEWSINGLES-----------8FNL000400----------		Women Singles	OFFICIAL		
362454	2234	TTEWSINGLES-----------8FNL000700----------		Women Singles	OFFICIAL		
362129	2234	TTEMSINGLES-----------R32-000400----------		Men Singles	OFFICIAL		
362110	2234	TTEMSINGLES-----------R32-000100----------		Men Singles	OFFICIAL		
361214	2234	TTEXDOUBLES-----------8FNL000800----------		Mixed Doubles	OFFICIAL		
361197	2234	TTEXDOUBLES-----------8FNL000100----------		Mixed Doubles	OFFICIAL		
361179	2234	TTEXDOUBLES-----------8FNL000200----------		Mixed Doubles	OFFICIAL		
361064	2234	TTEXDOUBLES-----------8FNL000400----------		Mixed Doubles	OFFICIAL		
360958	2234	TTEXDOUBLES-----------8FNL000300----------		Mixed Doubles	OFFICIAL		
360922	2234	TTEXDOUBLES-----------8FNL000500----------		Mixed Doubles	OFFICIAL		
360819	2234	TTEXDOUBLES-----------8FNL000700----------		Mixed Doubles	OFFICIAL		
360430	2234	TTEXDOUBLES-----------8FNL000600----------		Mixed Doubles	OFFICIAL		
360350	2234	TTEMSINGLES-----------R32-000900----------		Men Singles	OFFICIAL		
360302	2234	TTEMSINGLES-----------R32-001100----------		Men Singles	OFFICIAL		
360277	2234	TTEMSINGLES-----------R32-001200----------		Men Singles	OFFICIAL		
360235	2234	TTEMSINGLES-----------R32-001300----------		Men Singles	OFFICIAL		
360212	2234	TTEMSINGLES-----------R32-001600----------		Men Singles	OFFICIAL		
360192	2234	TTEMSINGLES-----------R32-001400----------		Men Singles	OFFICIAL		
360131	2234	TTEMSINGLES-----------R32-001000----------		Men Singles	OFFICIAL		
360052	2234	TTEMSINGLES-----------R32-001500----------		Men Singles	OFFICIAL		
360033	2234	TTEMSINGLES-----------R32-000800----------		Men Singles	OFFICIAL		
360013	2234	TTEMSINGLES-----------R32-000600----------		Men Singles	OFFICIAL		
359991	2234	TTEMSINGLES-----------R32-000200----------		Men Singles	OFFICIAL		
359963	2234	TTEMSINGLES-----------R32-000500----------		Men Singles	OFFICIAL		
359937	2234	TTEMSINGLES-----------R32-000700----------		Men Singles	OFFICIAL		
