tournament_id	year	tournament_name	tournament_type	tournament_kind	organizer	matches	from	to
769	2001	2001 - Commonwealth CHAMPIONSHIPS, New Delhi (IND)	Other events	--	IND			
300	2001	2001 - World Cup, Courmayeur (ITA)	World Cup	--	ITA		2001-01-01	2001-01-01
296	2001	2001 - EURO-TOP12, Wels (AUT)	Other events	--	AUT		2001-02-02	2001-02-03
303	2001	2001 - ENGLISH Open, Chatham (ENG)	World Tour / Pro Tour	--	ENG	248	2001-02-06	2001-02-11
309	2001	2001 - QATAR Open, Doha (QAT)	World Tour / Pro Tour	--	QAT	27	2001-02-19	2001-02-23
301	2001	2001 - CROATIAN Open, Zagreb (CRO)	World Tour / Pro Tour	--	CRO	93	2001-03-14	2001-03-18
987	2001	2001 - ARAB CUP, Soussa (TUN)	Other events	--	TUN		2001-03-22	2001-03-26
663	2001	2001 - Latin American Championships, Guatemala City (GUA)	Continental	--	GUA		2001-04-01	2001-04-06
308	2001	2001 - World Table Tennis Championships, Osaka (JPN)	WTTC	--	JPN		2001-04-23	2001-05-06
299	2001	2001 - CHINA Open, Hainan (CHN)	World Tour / Pro Tour	--	CHN		2001-06-06	2001-06-09
298	2001	2001 - BRAZILIAN Open, Sao Paulo (BRA)	World Tour / Pro Tour	--	BRA	24	2001-06-27	2001-07-01
339	2001	2001 - North American Championship, Fort Lauderdale (USA)	Continental	--	USA		2001-07-03	2001-07-08
311	2001	2001 - US Open, Fort Lauderdale (USA)	World Tour / Pro Tour	--	USA		2001-07-04	2001-07-07
823	2001	2001 - US Open, Fort Lauderdale (USA)	World Tour / Pro Tour	--	USA	180	2001-07-07	2001-07-07
609	2001	2001 - European Youth Championships (Cadet), Terni (ITA)	Continental	--	ITA		2001-07-20	2001-07-29
655	2001	2001 - European Youth Championships (Junior), Terni (ITA)	Continental	--	ITA		2001-07-20	2001-07-29
312	2001	2001 - Women's World Cup, Wuhu (CHN)	World Cup	--	CHN	32	2001-08-17	2001-08-19
874	2001	2001 - Mediterranean Games, Tunis (TUN)	Multi sport events	--	TUN		2001-09-02	2001-09-15
1408	2001	2001 - South East Asian Games, Kuala Lumpur (MAS)	Multi sport events	--	MAS		2001-09-08	2001-09-17
306	2001	2001 - KOREAN Open, Seoul (KOR)	World Tour / Pro Tour	--	KOR		2001-09-15	2001-09-18
305	2001	2001 - JAPAN Open, Yokohama (JPN)	World Tour / Pro Tour	--	JPN	129	2001-09-21	2001-09-24
1351	2001	2001 - Balkan Championships, Plovdiv (BUL)	Other events	--	BUL		2001-10-08	2001-10-10
304	2001	2001 - GERMAN Open, Bayreuth (GER)	World Tour / Pro Tour	--	GER	315	2001-10-18	2001-10-21
307	2001	2001 - NETHERLANDS Open, Rotterdam (NED)	World Tour / Pro Tour	--	NED		2001-10-24	2001-10-28
310	2001	2001 - SWEDISH Open, Skovde (SWE)	World Tour / Pro Tour	--	SWE	282	2001-11-21	2001-11-25
302	2001	2001 - DANISH Open, Farum (DEN)	World Tour / Pro Tour	--	DEN	39	2001-11-29	2001-12-02
295	2001	2001 - African Cup, El Minia (EGY)	Continental	--	EGY		2001-12-17	2001-12-21
794	2001	2001 - Asian Youth Championships ATTU-Juniors, Hong Kong (HKG)	Continental	--	HKG		2001-12-24	2001-12-29
297	2001	2001 - Pro Tour Grand Finals, Hainan (CHN)	World Tour / Pro Tour	Grand Finals	CHN		2002-01-11	2002-01-14
