event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
3024	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2900	2025-03-29 15:30:00	132892	134085	122261	123848	2	3	12-10,8-11,9-11,11-7,7-11
3024	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1784	2025-03-29 16:40:00	111066		123848		1	3	11-5,8-11,6-11,5-11
3024	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1648	2025-03-29 11:20:00	122982	132756	131413	135373	3	0	11-8,11-6,11-7
3024	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	1855	2025-03-29 17:15:00	119284		102891		3	1	11-4,11-5,8-11,11-7
3024	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1353	2025-03-29 16:05:00	133713	131912	132172	131413	0	3	5-11,5-11,5-11
3024	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1913	2025-03-28 16:10:00	122982	132756	119284	123972	3	1	11-7,11-5,5-11,14-12
3024	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	1299	2025-03-29 10:45:00	112062		119284		0	3	9-11,5-11,7-11
3024	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	3303	2025-03-29 10:10:00	134583		102891		2	3	8-11,11-4,19-21,11-7,8-11
3024	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1581	2025-03-28 16:10:00	144705	119749	131413	135373	0	3	7-11,10-12,10-12
3024	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1304	2025-03-28 15:00:00	134369	132756	122261	123848	0	3	2-11,10-12,7-11
3024	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2682	2025-03-29 09:00:00	123848		122261		3	1	12-10,1-11,11-8,11-7
3024	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1675	2025-03-28 15:35:00	132172	131413	212495	134583	3	0	11-8,11-9,11-4
3024	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	2168	2025-03-28 15:35:00	133713	131912	132171	208351	3	1	11-9,10-12,11-9,11-7
3024	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1810	2025-03-29 09:35:00	111066		119749		3	1	11-6,11-9,8-11,11-8
3024	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1381	2025-03-28 15:00:00	132978	131086	132892	134085	0	3	11-13,1-11,8-11
3024	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	2631	2025-03-28 09:00:00	131413	135373	136377	134085	3	2	11-8,11-9,9-11,5-11,11-4
3024	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	2636	2025-03-28 10:25:00	131176	121940	132172	131413	1	3	8-11,14-12,6-11,14-16
3024	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2254	2025-03-28 16:45:00	123848		122428		3	2	9-11,11-7,5-11,12-10,11-3
3024	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	2868	2025-03-28 10:25:00	212495	134583	119284	116818	3	2	11-9,14-12,7-11,11-13,11-4
3024	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1580	2025-03-28 09:00:00	122982	132756	115100	135698	3	0	11-6,11-2,21-19
3024	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1433	2025-03-28 10:25:00	133713	131912	133042	133628	3	0	11-7,11-5,11-8
3024	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	2090	2025-03-28 09:50:00	132978	131086	145805	135373	3	2	3-11,11-8,3-11,11-4,11-6
3024	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1342	2025-03-28 16:45:00	119749		132756		3	0	11-6,11-7,11-7
3024	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1083	2025-03-28 09:00:00	119284	123972	208351	137731	3	0	11-7,11-5,11-6
3024	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1782	2025-03-28 17:20:00	136757		102891		1	3	5-11,9-11,11-1,7-11
3024	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	1403	2025-03-28 17:20:00	116818		134583		0	3	8-11,8-11,9-11
3024	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	1902	2025-03-28 09:50:00	132144	201453	132892	134085	1	3	9-11,13-11,5-11,7-11
3024	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1473	2025-03-28 16:45:00	111066		135091		3	0	11-5,17-15,11-7
3024	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	2045	2025-03-28 17:20:00	119284		131484		3	1	12-14,11-6,11-5,11-7
3024	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	1377	2025-03-28 16:45:00	135370		122261		0	3	5-11,2-11,4-11
3024	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	1401	2025-03-28 10:25:00	118851	120162	132171	208351	1	3	11-3,5-11,5-11,6-11
3024	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1940	2025-03-28 09:50:00	122842	133426	134369	132756	1	3	13-11,9-11,2-11,8-11
3024	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1094	2025-03-28 17:20:00	112062		120857		3	0	11-6,11-4,11-6
3024	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	1333	2025-03-28 09:50:00	134345	122988	122261	123848	0	3	3-11,11-13,7-11
3024	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1388	2025-03-28 09:00:00	144705	119749	137175	135370	3	1	12-10,7-11,11-7,11-4
3024	TTEMSINGLES-----------8FNL000300----------	S	M	8FNL	000300	1958	2025-03-28 12:45:00	133713		119284		1	3	5-11,11-8,10-12,3-11
3024	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	000600	2306	2025-03-28 11:00:00	122428		120294		3	2	7-11,11-9,6-11,11-9,11-2
3024	TTEMSINGLES-----------8FNL000600----------	S	M	8FNL	000600	2769	2025-03-28 12:45:00	134583		137568		3	2	11-4,11-8,8-11,6-11,11-7
3024	TTEWDOUBLES-----------8FNL000600----------	D	W	8FNL	000600	1961	2025-03-27 18:30:00	134369	132756	134356	146232	3	2	11-5,7-11,8-11,11-5,11-6
3024	TTEWDOUBLES-----------8FNL000800----------	D	W	8FNL	000800	2214	2025-03-27 18:30:00	122261	123848	112453	113944	3	2	7-11,7-11,11-8,11-5,11-3
3024	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1333	2025-03-28 11:00:00	119749		144473		3	0	11-5,16-14,11-7
3024	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	000700	1407	2025-03-28 11:35:00	131086		135370		0	3	7-11,8-11,2-11
3024	TTEWDOUBLES-----------8FNL000400----------	D	W	8FNL	000400	1053	2025-03-27 17:55:00	132892	134085	135306	115037	3	0	11-6,11-4,11-7
3024	TTEMSINGLES-----------8FNL000500----------	S	M	8FNL	000500	2263	2025-03-28 13:20:00	131413		116818		1	3	4-11,12-10,10-12,10-12
3024	TTEWDOUBLES-----------8FNL000500----------	D	W	8FNL	000500	2264	2025-03-27 18:30:00	122842	133426	136420	144239	3	2	9-11,11-6,11-9,6-11,11-5
3024	TTEMSINGLES-----------8FNL000200----------	S	M	8FNL	000200	1258	2025-03-28 12:10:00	120857		120074		3	0	11-4,11-9,11-9
3024	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	000500	2143	2025-03-28 11:35:00	134790		123848		1	3	11-8,9-11,8-11,7-11
3024	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	000400	1349	2025-03-28 11:35:00	132756		213286		3	0	11-7,11-5,11-6
3024	TTEMSINGLES-----------8FNL000800----------	S	M	8FNL	000800	2816	2025-03-28 12:45:00	121042		102891		2	3	2-11,12-10,12-14,11-7,6-11
3024	TTEWDOUBLES-----------8FNL000700----------	D	W	8FNL	000700	1713	2025-03-27 17:55:00	134345	122988	123666	123667	3	1	11-7,11-6,8-11,11-6
3024	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	000800	1952	2025-03-28 11:35:00	132144		122261		1	3	5-11,7-11,11-9,2-11
3024	TTEWDOUBLES-----------8FNL000200----------	D	W	8FNL	000200	1518	2025-03-27 18:30:00	145805	135373	123972	137731	3	0	11-9,13-11,11-7
3024	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	000100	2408	2025-03-28 11:00:00	111066		136309		3	2	11-5,11-2,7-11,8-11,11-7
3024	TTEWDOUBLES-----------8FNL000100----------	D	W	8FNL	000100	1995	2025-03-27 17:55:00	117294	109777	132978	131086	2	3	11-3,8-11,11-6,8-11,4-11
3024	TTEMSINGLES-----------8FNL000700----------	S	M	8FNL	000700	1141	2025-03-28 12:10:00	200044		136757		0	3	9-11,3-11,6-11
3024	TTEMSINGLES-----------8FNL000100----------	S	M	8FNL	000100	1306	2025-03-28 12:10:00	112062		144705		3	0	11-8,11-6,12-10
3024	TTEWDOUBLES-----------8FNL000300----------	D	W	8FNL	000300	1405	2025-03-27 17:55:00	123228	133113	132144	201453	1	3	11-3,8-11,9-11,2-11
3024	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	000200	996	2025-03-28 11:00:00	123228		135091		0	3	10-12,5-11,6-11
3024	TTEMSINGLES-----------8FNL000400----------	S	M	8FNL	000400	1566	2025-03-28 12:10:00	116680		131484		0	3	10-12,5-11,5-11
3024	TTEMSINGLES-----------R32-001300----------	S	M	R32	001300	982	2025-03-27 17:20:00	200044		201466		3	0	11-7,12-10,11-3
3024	TTEWSINGLES-----------R32-001000----------	S	W	R32	001000	1350	2025-03-27 15:35:00	133113		123848		1	3	5-11,1-11,11-8,6-11
3024	TTEMSINGLES-----------R32-001100----------	S	M	R32	001100	1459	2025-03-27 17:20:00	134583		137037		3	0	11-4,14-12,11-5
3024	TTEMSINGLES-----------R32-001000----------	S	M	R32	001000	1903	2025-03-27 17:20:00	116818		134849		3	1	11-5,12-14,11-6,11-4
3024	TTEWSINGLES-----------R32-000200----------	S	W	R32	000200	2439	2025-03-27 15:00:00	134295		136309		1	3	11-6,15-17,7-11,8-11
3024	TTEWSINGLES-----------R32-000700----------	S	W	R32	000700	1267	2025-03-27 15:35:00	132756		131587		3	0	11-5,11-8,11-6
3024	TTEMSINGLES-----------R32-000700----------	S	M	R32	000700	2106	2025-03-27 16:10:00	116680		120224		3	2	11-13,11-4,6-11,11-6,11-7
3024	TTEMSINGLES-----------R32-000300----------	S	M	R32	000300	2121	2025-03-27 16:45:00	131912		120857		1	3	4-11,11-9,9-11,10-12
3024	TTEMSINGLES-----------R32-000600----------	S	M	R32	000600	1293	2025-03-27 16:45:00	120287		119284		0	3	7-11,7-11,10-12
3024	TTEMSINGLES-----------R32-000400----------	S	M	R32	000400	1056	2025-03-27 16:45:00	121940		120074		0	3	7-11,4-11,5-11
3024	TTEWSINGLES-----------R32-001600----------	S	W	R32	001600	2846	2025-03-27 16:10:00	123972		122261		1	3	11-8,4-11,8-11,5-11
3024	TTEWSINGLES-----------R32-000600----------	S	W	R32	000600	2252	2025-03-27 15:00:00	144473		113944		3	2	6-11,5-11,11-2,11-6,13-11
3024	TTEWSINGLES-----------R32-000400----------	S	W	R32	000400	974	2025-03-27 15:00:00	135091		109777		3	0	11-9,11-6,11-5
3024	TTEWSINGLES-----------R32-000900----------	S	W	R32	000900	2662	2025-03-27 15:35:00	134790		131966		3	2	11-1,12-10,4-11,9-11,11-5
3024	TTEMSINGLES-----------R32-000500----------	S	M	R32	000500	1242	2025-03-27 16:45:00	133713		145277		3	0	13-11,11-8,11-4
