event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x
2735	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1442	2023-11-25 17:10:00	123120		135922		3	0
2735	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	2411	2023-11-25 17:45:00	106050		121514		3	1
2735	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	1704	2023-11-25 16:00:00	122052	123113	136101	135923	0	3
2735	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	2695	2023-11-24 19:20:00	102841		123300		3	2
2735	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1210	2023-11-25 10:00:00	124165		123120		0	3
2735	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2068	2023-11-25 10:35:00	122052		135922		0	3
2735	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1788	2023-11-25 12:20:00	117345	119730	120074	106706	3	1
2735	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2180	2023-11-25 16:35:00	121514	105136	123962	132632	3	2
2735	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	2532	2023-11-25 11:10:00	102841		106050		1	3
2735	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2680	2023-11-24 18:45:00	121401		135922		1	3
2735	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	2285	2023-11-24 19:20:00	123962		104379		3	1
2735	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	3473	2023-11-25 11:45:00	123962		121514		2	3
2735	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	2358	2023-11-24 18:45:00	123120		136101		3	1
2735	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	2514	2023-11-24 18:10:00	121408	133528	120074	106706	2	3
2735	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2788	2023-11-24 19:20:00	121514		132824		3	2
2735	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1042	2023-11-24 17:35:00	106814	123659	121514	105136	0	3
2735	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1408	2023-11-24 17:35:00	123962	132632	131912	133713	3	0
2735	TTEMSINGLES-----------8FNL000400----------	S	M	8FNL	000400	2981	2023-11-24 13:55:00	121408		100621		2	3
2735	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1828	2023-11-24 17:00:00	136101	135923	120972	111833	3	1
2735	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1892	2023-11-24 18:10:00	122067	118893	117345	119730	1	3
2735	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1052	2023-11-24 18:45:00	121714		124165		0	3
2735	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	1613	2023-11-24 19:20:00	106050		100621		3	0
2735	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2509	2023-11-24 18:45:00	111066		122052		1	3
2735	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	2057	2023-11-24 17:00:00	105913	100868	122052	123113	1	3
