event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
3088	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1772	2025-04-12 10:00:00	121412	119797	117357	133814	1	3	8-11,11-7,6-11,10-12
3088	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1569	2025-04-13 10:00:00	131148	135888	112620	133867	3	1	11-6,11-3,8-11,11-9
3088	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	2291	2025-04-13 11:20:00	117332		133000		0	4	8-11,5-11,8-11,5-11
3088	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	3438	2025-04-13 12:00:00	121514		135996		3	4	9-11,11-8,4-11,11-8,8-11,11-5,10-12
3088	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2190	2025-04-13 10:40:00	133814	132701	132132	137465	3	2	11-9,4-11,11-5,4-11,11-6
3088	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	1869	2025-04-12 11:10:00	121514		135050		3	1	12-10,7-11,11-7,11-5
3088	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	2321	2025-04-12 03:00:00	131148	135888	133848	119533	3	2	11-8,10-12,11-8,9-11,11-8
3088	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1096	2025-04-11 10:00:00	117357	133814	116820	132715	3	0	11-7,11-7,11-8
3088	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1334	2025-04-12 03:35:00	132318	123505	133814	132701	0	3	7-11,10-12,9-11
3088	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1254	2025-04-12 03:00:00	144628	200907	132132	137465	0	3	9-11,7-11,1-11
3088	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1798	2025-04-11 10:00:00	121412	119797	133848	132132	3	1	12-10,9-11,12-10,11-6
3088	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1252	2025-04-12 11:45:00	117332		132132		3	0	11-6,11-3,11-8
3088	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1123	2025-04-12 12:20:00	135996		135888		3	0	11-6,11-9,11-3
3088	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1518	2025-04-12 03:00:00	112620	133867	121514	117357	3	1	11-6,4-11,11-7,11-8
3088	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	1501	2025-04-12 10:35:00	133000		144628		3	0	11-2,11-9,11-4
3088	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	976	2025-04-11 05:55:00	133814	132701	202540	132715	3	0	11-8,11-4,11-7
3088	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	1430	2025-04-12 04:10:00	135050		116820		3	1	11-7,4-11,11-7,11-4
3088	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1899	2025-04-11 04:10:00	136403	202970	144628	200907	1	3	12-10,5-11,10-12,9-11
3088	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	1604	2025-04-11 03:00:00	116820	132715	132325	132318	3	0	20-18,11-7,11-8
3088	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1742	2025-04-11 05:55:00	203067	135886	121514	117357	1	3	8-11,4-11,11-7,8-11
3088	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	1633	2025-04-12 04:45:00	119533		135996		1	3	4-11,14-12,9-11,6-11
3088	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	2545	2025-04-12 04:10:00	117332		135935		3	2	11-8,12-14,9-11,11-3,11-1
3088	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	2092	2025-04-12 04:45:00	132132		124591		3	2	11-6,11-6,6-11,8-11,11-3
3088	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2706	2025-04-12 05:55:00	117357		135888		2	3	12-10,10-12,11-6,8-11,8-11
3088	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	1494	2025-04-11 04:45:00	132318	123505	134790	136712	3	0	11-6,11-9,11-8
3088	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1069	2025-04-11 04:10:00	112620	133867	133713	131912	3	0	11-3,11-6,12-10
3088	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	1384	2025-04-12 04:10:00	200907		133000		0	3	8-11,1-11,4-11
3088	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	2465	2025-04-11 05:20:00	123120	133894	132132	137465	2	3	11-9,9-11,11-9,11-13,8-11
3088	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1317	2025-04-11 03:00:00	133848	132132	135050	202970	3	1	11-6,11-7,9-11,11-5
3088	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2193	2025-04-12 05:20:00	144628		131036		3	2	10-12,11-8,11-6,4-11,11-8
3088	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1255	2025-04-12 04:45:00	121514		122727		3	0	11-6,11-7,11-8
3088	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	1998	2025-04-11 04:45:00	133848	119533	123690	132325	3	2	9-11,11-5,7-11,12-10,11-1
3088	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1144	2025-04-11 03:00:00	121412	119797	135888	133894	3	0	11-8,12-10,11-9
3088	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1868	2025-04-11 05:20:00	131148	135888	115546	115545	3	1	5-11,11-8,11-7,11-8
3088	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1186	2025-04-11 03:35:00	121514	132701	117357	133814	1	3	4-11,8-11,11-6,4-11
3088	TTEMSINGLES-----------8FNL000300----------	S	M	8FNL	000300	2164	2025-04-11 11:10:00	135050		203067		3	2	11-4,6-11,11-6,7-11,11-9
3088	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	000100	1899	2025-04-11 12:20:00	119797		117332		1	3	11-9,7-11,9-11,4-11
3088	TTEMSINGLES-----------8FNL000700----------	S	M	8FNL	000700	1146	2025-04-11 11:45:00	117357		115546		3	0	11-8,11-7,11-3
3088	TTEXDOUBLES-----------8FNL000400----------	D	X	8FNL	000400	1743	2025-04-10 02:35:00	133867	123505	135050	202970	1	3	8-11,11-8,7-11,8-11
3088	TTEMSINGLES-----------8FNL000400----------	S	M	8FNL	000400	1715	2025-04-11 10:35:00	135919		116820		1	3	9-11,11-8,4-11,6-11
3088	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	000600	1273	2025-04-11 12:20:00	133894		133000		0	3	5-11,3-11,5-11
3088	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	000800	1613	2025-04-11 04:45:00	111772		131036		1	3	4-11,12-10,8-11,3-11
3088	TTEWDOUBLES-----------8FNL000200----------	D	W	8FNL	000200	1940	2025-04-10 06:05:00	134790	136712	135187	132320	3	1	11-7,7-11,11-5,11-7
3088	TTEXDOUBLES-----------8FNL000200----------	D	X	8FNL	000200	1834	2025-04-10 02:00:00	135888	133894	122585	145860	3	1	11-13,11-3,11-5,14-12
3088	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	000500	2530	2025-04-11 10:35:00	123120		200907		2	3	11-8,7-11,5-11,11-9,4-11
3088	TTEMDOUBLES-----------8FNL000600----------	D	M	8FNL	000600	0	2025-04-10 06:40:00	121412	135050	133713	131912	2	3	11-5,13-15,7-11,11-8,14-16
3088	TTEXDOUBLES-----------8FNL000300----------	D	X	8FNL	000300	1167	2025-04-10 02:00:00	133848	132132	133713	131342	3	0	11-8,11-7,11-6
3088	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	000700	1853	2025-04-11 05:55:00	136403		144628		0	3	13-15,8-11,8-11
3088	TTEMDOUBLES-----------8FNL000400----------	D	M	8FNL	000400	1592	2025-04-10 05:30:00	113395	133850	123690	132325	1	3	1-11,11-9,7-11,6-11
3088	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1825	2025-04-11 11:45:00	132132		202747		3	0	11-5,11-9,11-9
3088	TTEWDOUBLES-----------8FNL000700----------	D	W	8FNL	000700	1244	2025-04-10 07:15:00	131342	132144	123120	133894	1	3	8-11,9-11,11-4,3-11
