event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x
2658	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	3483	2022-11-25 17:55:00	107028		116620		4	0
2658	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	3056	2022-11-25 16:35:00	133455	116530	121031	131671	1	3
2658	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	4281	2022-11-25 09:00:00	136711		115454		3	4
2658	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	6203	2022-11-25 12:00:00	123971	119285	123690	105159	3	1
2658	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	3567	2022-11-24 17:30:00	107028		111050		4	2
2658	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	5650	2022-11-25 09:45:00	124591		111849		3	4
2658	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2470	2022-11-25 16:00:00	113300	117373	119285	131401	3	2
2658	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	5196	2022-11-25 10:30:00	116620		116612		4	0
2658	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	6568	2022-11-25 11:15:00	107028		103107		4	3
2658	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	3116	2022-11-25 17:10:00	115454		111849		0	4
2658	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2009	2022-11-24 17:30:00	116530		116612		3	4
2658	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	2432	2022-11-24 17:30:00	100621		116620		1	4
2658	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	525	2022-11-24 17:30:00	100696		103107		0	4
2658	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	767	2022-11-24 16:10:00	111050	111072	123971	119285	1	3
2658	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2528	2022-11-24 16:45:00	118507		111849		1	4
2658	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1421	2022-11-24 16:45:00	115454		100868		4	2
2658	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	807	2022-11-24 15:35:00	121031	131671	101648	119565	3	0
2658	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1867	2022-11-24 16:10:00	116620	111066	123690	105159	2	3
2658	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1561	2022-11-24 15:00:00	131581	110995	119285	131401	1	3
2658	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1331	2022-11-24 15:35:00	133455	116530	118851	109946	3	0
