event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
3360	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1693	2026-05-19 16:05:00	134590	136116	100621	102841	0	3	11-13,8-11,3-11
3360	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	2702	2026-05-19 17:15:00	115396		119794		2	3	12-10,9-11,7-11,12-10,9-11
3360	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	2188	2026-05-19 11:20:00	123031	133478	145043	203313	2	3	7-11,13-11,11-8,4-11,5-11
3360	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	3309	2026-05-19 16:40:00	134790		115454		2	3	10-12,11-5,8-11,13-11,11-13
3360	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	1541	2026-05-19 15:30:00	124165	124162	134790	136309	0	3	9-11,9-11,8-11
3360	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	2699	2026-05-19 10:10:00	115396		201466		3	2	10-12,14-12,11-7,9-11,11-8
3360	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1220	2026-05-19 10:45:00	119794		100621		3	0	11-3,11-7,11-5
3360	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1428	2026-05-18 16:05:00	131723	201839	100621	102841	0	3	8-11,6-11,6-11
3360	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	2321	2026-05-18 15:30:00	136180	136495	134790	136309	2	3	11-6,11-8,5-11,7-11,8-11
3360	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	988	2026-05-18 19:00:00	145043	203313	114718	115430	3	0	11-6,11-4,11-6
3360	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	976	2026-05-18 15:30:00	124165	124162	111416	115430	3	0	11-8,11-8,11-3
3360	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1618	2026-05-19 09:00:00	209670		134790		0	3	5-11,9-11,7-11
3360	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1795	2026-05-18 19:00:00	123031	133478	112074	115454	3	1	8-11,11-6,14-12,11-5
3360	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	1509	2026-05-19 09:35:00	124162		115454		0	3	8-11,8-11,7-11
3360	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1668	2026-05-18 16:05:00	134590	136116	124147	135966	3	1	11-3,11-5,9-11,11-9
3360	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	1942	2026-05-18 18:25:00	134849		201466		1	3	9-11,4-11,11-7,4-11
3360	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	1979	2026-05-18 16:40:00	121401		115454		2	3	6-11,4-11,11-7,11-7,8-11
3360	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1347	2026-05-18 17:15:00	209670		124165		3	0	11-9,11-5,11-8
3360	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1956	2026-05-18 17:50:00	100621		114718		3	1	8-11,11-7,11-6,11-4
3360	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1354	2026-05-18 09:00:00	112074	115454	115396	145634	3	0	12-10,11-7,11-8
3360	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	1671	2026-05-18 17:15:00	115430		124162		1	3	5-11,11-6,7-11,1-11
3360	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1962	2026-05-18 10:35:00	131723	201839	201466	145799	3	1	11-4,14-12,9-11,12-10
3360	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	2093	2026-05-18 16:40:00	110560		134790		1	3	8-11,11-8,2-11,10-12
3360	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1029	2026-05-18 09:00:00	145043	203313	136116	116874	3	0	11-9,11-5,11-6
3360	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	2045	2026-05-18 09:00:00	114718	115430	135966	136755	3	2	11-7,6-11,11-3,10-12,11-9
3360	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	890	2026-05-18 10:35:00	136353	136158	100621	102841	0	3	2-11,2-11,4-11
