event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
3026	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2629	2025-02-08 13:35:00	120285	122051	204288	135919	2	3	11-4,11-9,7-11,10-12,2-11
3026	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	2119	2025-02-08 09:20:00	133848	136403	136170	145807	3	2	11-13,7-11,11-6,11-4,11-6
3026	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	2306	2025-02-08 14:45:00	131413		119284		3	1	11-9,11-13,11-8,11-9
3026	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	3547	2025-02-08 14:10:00	132132		200908		3	2	13-15,5-11,11-6,12-10,11-5
3026	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	3030	2025-02-08 13:00:00	132132	200908	136539	136403	3	2	6-11,12-10,5-11,11-7,14-12
3026	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	2498	2025-02-08 08:10:00	131413		133813		3	2	7-11,11-3,4-11,11-7,11-9
3026	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	2663	2025-02-07 14:35:00	133813	131413	120285	122051	2	3	11-8,6-11,9-11,11-8,6-11
3026	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2126	2025-02-08 07:35:00	200908		135391		3	0	11-7,13-11,11-8
3026	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1588	2025-02-07 14:35:00	136170	136097	204288	135919	1	3	11-6,4-11,5-11,8-11
3026	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1858	2025-02-08 07:00:00	132132		133593		3	1	11-6,9-11,11-4,11-5
3026	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	518	2025-02-07 16:20:00	133848	136403	136137	145455	3	0	11-7,11-0,11-0
3026	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1971	2025-02-07 14:00:00	136539	136403	131401	135391	3	1	4-11,11-9,11-9,11-9
3026	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	2281	2025-02-07 14:00:00	132132	200908	135187	132320	3	1	11-9,11-9,7-11,11-9
3026	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1341	2025-02-08 08:45:00	133893		119284		0	3	9-11,5-11,5-11
3026	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1279	2025-02-07 16:20:00	133455	132320	136170	145807	0	3	8-11,10-12,9-11
3026	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	2563	2025-02-07 08:35:00	136170	136097	113376	115118	3	2	11-8,9-11,11-9,8-11,12-10
3026	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1211	2025-02-07 07:00:00	131156	113197	136137	145455	0	3	6-11,5-11,8-11
3026	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1196	2025-02-07 15:45:00	202981		119284		0	3	7-11,9-11,5-11
3026	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	1388	2025-02-07 07:00:00	136170	145807	134239	136539	3	0	12-10,11-8,11-8
