event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
3244	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	3266	2026-07-26 21:00:00	115641		132992		4	3	11-9,3-11,11-6,13-11,4-11,8-11,11-9
3244	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	3773	2026-07-26 20:00:00	123672		122261		4	2	8-11,11-7,4-11,11-9,11-7,11-8
3244	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1624	2026-07-26 16:40:00	115641	121623	133694	133405	1	3	7-11,11-9,1-11,10-12
3244	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2588	2026-07-25 22:55:00	112620	133867	117002	121690	3	2	11-5,11-13,7-11,14-12,11-9
3244	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	1343	2026-07-25 22:20:00	123672	136309	115543	132318	3	0	11-8,11-9,11-2
3244	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1298	2026-07-26 16:00:00	121514		132992		0	3	12-14,5-11,5-11
3244	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	2207	2026-07-24 22:20:00	112620	133867	145799	201466	3	2	10-12,12-10,4-11,11-1,11-6
3244	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1310	2026-07-24 21:45:00	123305	123300	117002	121690	0	3	12-14,5-11,7-11
3244	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1685	2026-07-25 16:20:00	133694	133405	112620	115543	3	1	11-7,11-5,9-11,11-8
3244	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1810	2026-07-25 16:20:00	115641	121623	132325	132318	3	1	11-1,11-7,10-12,11-9
3244	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1332	2026-07-24 21:45:00	122261	123848	123672	136309	0	3	9-11,7-11,3-11
3244	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	3485	2026-07-26 14:00:00	123672		133000		3	2	11-13,9-11,11-4,11-7,11-7
3244	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	2676	2026-07-24 22:20:00	115543	132318	135935	144861	3	2	11-7,11-8,12-14,8-11,11-9
3244	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	4316	2026-07-26 14:40:00	115641		122777		3	2	11-5,15-17,12-14,21-19,11-8
3244	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	1624	2026-07-26 15:20:00	122261		124591		3	0	11-9,11-6,11-7
3244	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	1038	2026-07-24 14:35:00	122261	123848	109777	117294	3	0	11-8,11-6,11-2
3244	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	2045	2026-07-25 20:00:00	123672		114726		3	1	11-4,11-9,11-13,11-2
3244	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1894	2026-07-25 21:10:00	102832		132992		1	3	5-11,11-8,7-11,10-12
3244	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	2127	2026-07-25 20:00:00	133000		136309		3	1	11-8,9-11,11-4,12-10
3244	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1422	2026-07-24 17:30:00	111683	117294	132325	132318	0	3	5-11,10-12,8-11
3244	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2939	2026-07-25 20:35:00	135935		122261		1	3	6-11,11-9,9-11,8-11
3244	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	2031	2026-07-24 15:10:00	115546	132325	123305	123300	1	3	10-12,11-8,6-11,10-12
3244	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	1305	2026-07-24 17:30:00	121690	131231	112620	115543	0	3	9-11,8-11,8-11
3244	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	2143	2026-07-24 17:30:00	135367	137193	133694	133405	1	3	8-11,11-9,8-11,9-11
3244	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	2056	2026-07-24 14:00:00	117002	121690	133441	111683	3	2	11-2,10-12,9-11,11-8,11-4
3244	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1554	2026-07-25 21:45:00	115641		135367		3	0	11-9,11-6,11-4
