Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
88,82,109140,ROU,M,SZOCS Hunor,2166,2159,0,12,2017
89,80,109188,JPN,M,TAKAKIWA Taku,2165,2165,0,12,2017
90,124,123729,DEN,M,ZHAI ^^ Yujia,2162,2054,0,12,2017
91,104,115546,HKG,M,LAM Siu Hang,2160,2099,0,12,2017
92,74,113340,JPN,M,TAZOE Kenta,2158,2187,0,12,2017
92,76,120850,JPN,M,OIKAWA Mizuki,2158,2173,0,12,2017
94,90,101979,ROU,M,CRISAN Adrian,2147,2139,0,12,2017
95,112,105609,SWE,M,LUNDQVIST Jens,2146,2073,0,12,2017
95,120,118927,SLO,M,JORGIC Darko,2146,2061,0,12,2017
97,0,113685,FRA,M,OUAICHE Stephane,2144,0,0,12,2017
98,94,103070,IND,M,GHOSH Soumyajit,2143,2125,0,12,2017
99,96,134239,CHN,M,NIU Guankai,2142,2116,0,12,2017
100,78,115396,POR,M,GERALDO Joao,2141,2168,0,12,2017
101,81,100982,GER,M,BAUM Patrick,2135,2161,0,12,2017
102,84,106050,GER,M,MENGEL Steffen,2134,2155,0,12,2017
102,93,111033,JPN,M,MATSUDAIRA Kenji,2134,2126,0,12,2017
104,106,121558,CHN,M,WANG Chuqin,2133,2096,0,12,2017
105,88,101674,AUT,M,CHEN Weixing,2131,2143,0,12,2017
106,92,108204,FRA,M,SALIFOU Abdel-Kader,2126,2127,0,12,2017
107,116,116612,FRA,M,AKKUZU Can,2115,2067,0,12,2017
108,75,116853,SWE,M,KALLBERG Anton,2114,2175,0,12,2017
109,101,121582,TPE,M,LIN Yun-Ju,2111,2107,0,12,2017
110,91,111641,IND,M,DESAI Harmeet,2109,2133,0,12,2017
111,102,112035,IRI,M,ALAMIAN Nima,2108,2103,0,12,2017
112,105,107312,SWE,M,PERSSON Jon,2107,2098,0,12,2017
113,96,116658,TUR,M,LI ^ Ahmet,2105,2116,0,12,2017
114,95,109865,RUS,M,VLASOV Grigory,2103,2119,0,12,2017
115,100,107445,SVK,M,PISTEJ Lubomir,2101,2112,0,12,2017
116,119,105497,RUS,M,LIVENTSOV Alexey,2100,2062,0,12,2017
117,99,109581,BRA,M,TSUBOI Gustavo,2095,2113,0,12,2017
118,142,113243,CZE,M,SIRUCEK Pavel,2087,1986,0,12,2017
119,107,103202,POL,M,GORAK Daniel,2085,2093,0,12,2017
120,0,117345,CHN,M,ZHOU Kai,2083,0,0,12,2017
121,115,109546,CZE,M,TREGLER Tomas,2079,2070,0,12,2017
122,0,115680,JPN,M,SAKAI Asuka,2077,2054,0,12,2017
123,102,104795,CZE,M,KONECNY Tomas,2075,2103,0,12,2017
123,109,110726,FIN,M,OLAH Benedek,2075,2078,0,12,2017
125,117,108742,RUS,M,SKACHKOV Kirill,2072,2066,0,12,2017
126,125,131983,HKG,M,NG Pak Nam,2071,2051,0,12,2017
127,139,116820,KOR,M,PARK Ganghyeon,2069,1995,0,12,2017
128,0,121408,CHN,M,LIU Dingshuo,2063,0,0,12,2017
129,108,112446,FRA,M,HACHARD Antoine,2060,2080,0,12,2017
130,125,113689,FRA,M,ROBINOT Alexandre,2058,2051,0,12,2017
131,122,104359,SRB,M,KARAKASEVIC Aleksandar,2056,2056,0,12,2017
132,110,111884,KOR,M,SEO Hyundeok,2053,2076,0,12,2017
132,118,132237,PRK,M,RO Kwang Jin,2053,2065,0,12,2017
134,114,101711,TPE,M,CHIANG Hung-Chieh,2052,2072,0,12,2017
134,112,107578,CZE,M,PROKOPCOV Dmitrij,2052,2073,0,12,2017
136,121,101192,ITA,M,BOBOCICA Mihai,2047,2058,0,12,2017
137,123,104036,CZE,M,JANCARIK Lubomir,2046,2055,0,12,2017
138,127,105928,BRA,M,MATSUMOTO Cazuo,2039,2039,0,12,2017
139,128,107071,RUS,M,PAIKOV Mikhail,2022,2030,0,12,2017
140,157,111020,FRA,M,LORENTZ Romain,2021,1934,0,12,2017
141,133,105666,ESP,M,MACHADO Carlos,2020,2010,0,12,2017
142,111,119543,JPN,M,RYUZAKI Tonin,2019,2074,0,12,2017
143,135,100001,IND,M,ANTHONY Amalraj,2014,2007,0,12,2017
143,131,104892,GRE,M,KREANGA Kalinikos,2014,2014,0,12,2017
145,134,107138,GRE,M,PAPAGEORGIOU Konstantinos,2008,2008,0,12,2017
145,137,114718,ENG,M,WALKER Samuel,2008,2002,0,12,2017
147,129,114856,FRA,M,LANDRIEU Andrea,2003,2027,0,12,2017
148,130,110367,UKR,M,YEFIMOV Viktor,2002,2026,0,12,2017
